
"PerGlu · Day 3 · Week 5 · Verão · Deload";"2024-10-30 16:32 h";"1:16 hr"
"4. Lean Away Lateral Raises · Cable · 12 reps"
#;KG;REPS
1;5;15
2;7;8
3;5;11
"5. Butterfly with Wide Grip · Machine · 10 reps"
#;KG;REPS
1;47;12
2;47;12
3;47;12
"6. Pike Push-Ups · Bodyweight · 12 reps";"Não tô conseguindo fazer isso direito, vou ter que mudar alguma coisa"
#;REPS
1;4
2;2
"7. Pseudo Planche Lean - Iso · Bodyweight"
#;SECS
1;12
2;12
3;17
4;6

"CosBi · Day 1 · Week 1 · Transição · Deload";"2024-08-20 16:21 h";"57 min"
"1. Lat Pulldowns with Wide Overhand Grip · Cable · 12 reps"
#;KG;REPS
1;60;12
2;60;12
3;60;8
"2. One-Arm Rows · Dumbbells · 12 reps"
#;KG;REPS
1;20;12
2;20;12
3;20;12
"3. Reverse Butterfly with Wide Grip · Machine · 12 reps"
#;KG;REPS
1;30;10
2;30;10
3;30;10
"4. Pullovers · Cable · 12 reps"
#;KG;REPS
1;47;12
2;47;12
3;47;11
"5. Seated Curls · Dumbbells · 12 reps"
#;KG;REPS
1;10;12
2;10;12
3;10;15

"PerGlu · Day 3 · Week 6 · Voltando · Deload";"2024-08-16 19:02 h";"1:07 hr"
"1. Leg Press · Machine · 10 reps"
#;KG;REPS
1;200;12
2;200;12
3;200;15
"2. Calf Raises on Leg Press · Machine · 10 reps"
#;KG;REPS
1;166;10
2;166;12
3;166;12
"3. Leg Curls on Leg Extension Machine · Machine · 10 reps"
#;KG;REPS
1;27;8
2;27;8
3;27;7
"4. Hip Abduction · Cable · 10 reps"
#;KG;REPS
1;20;8
2;20;8
3;20;8
"5. Leg Extensions · Machine · 10 reps"
#;KG;REPS
1;75;10
2;75;10
3;75;10
"6. Seated Leg Curls · Machine · 10 reps"
#;KG;REPS
1;70;8
2;70;8
3;70;8

"PeiTriOm · Day 2 · Week 6 · Voltando · Deload";"2024-08-15 16:52 h";"58 min"
"1. Incline Archer Push-Ups · Bodyweight · 10 reps"
#;REPS
1;10
2;8
3;7
"2. Dips · Bodyweight · 10 reps"
#;KG;REPS
1;+0;10
2;+0;7
3;+0;4
"3. Decline Push-Ups · Bodyweight · 10 reps"
#;REPS
1;10
2;7
3;6
"4. Seated Lateral Raises · Dumbbells · 10 reps"
#;KG;REPS
1;10;8
2;10;7
3;10;7

"CosBi · Day 1 · Week 6 · Voltando · Deload";"2024-08-14 16:52 h";"56 min"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#;KG;REPS
1;+0;10
2;+0;6
3;+0;5
"2. Inverted Rows on Smith Machine with Reverse Grip · Bodyweight · 10 reps";"Barra altura 10, 3 apoios"
#;KG;REPS
1;+0;5
2;+0;5
3;+0;4
"3. Reverse Butterfly with Wide Grip · Machine · 10 reps"
#;KG;REPS
1;28;12
2;28;12
3;28;15
