
"7. Triceps Pushdowns with Rope · Cable";"3 sets";"10 reps"
"8. Russian Twists · Bodyweight";"3 sets";"12 reps"
"Day 2 · Costas Bíceps"
"1. Lat Pulldowns with Wide Overhand Grip · Cable";"3 sets";"12 reps"
"2. Chest-Supported Low Rows with Neutral Grip · Machine";"3 sets";"12 reps"
"3. Rows with Wide Neutral Grip · Cable";"3 sets";"12 reps"
"4. Curls · EZ bar";"3 sets";"12 reps"
"5. Seated Curls · Dumbbells";"3 sets";"12 reps"
"6. Pullovers · Cable";"3 sets";"12 reps"
"7. Reverse Butterfly with Wide Grip · Machine";"3 sets";"12 reps"
"8. Kneeling Crunches · Cable";"3 sets";"12 reps"
"Day 3 · Perna"
"1. Leg Press · Machine";"3 sets";"15 reps"
"2. Calf Raises on Leg Press · Machine";"3 sets";"15 reps"
"3. Hip Adduction · Machine";"3 sets";"15 reps"
"4. Hip Abduction · Machine";"3 sets";"15 reps"
"5. Leg Curls on Leg Extension Machine · Machine";"3 sets";"15 reps"
"6. Hip Thrusts · Barbell";"3 sets";"10 reps"

"Padrão2 · 5 weeks";2023-11-06
"Day 1 · Day 1 - Peito Ombro"
"1. Bench Press · Barbell";"3 sets";"15 reps"
"2. Incline Bench Press · Barbell";"3 sets";"15 reps"
"3. Seated Shoulder Press · Barbell";"3 sets";"15 reps"
"4. Butterfly with Wide Grip · Machine";"3 sets";"15 reps"
"5. Lateral Raises · Dumbbells";"3 sets";"15 reps"
"6. Russian Twists · Bodyweight";"3 sets";"15 reps"
"Day 2 · Day 2 - Costas Bíceps Triceps"
"1. Lat Pulldowns with Wide Overhand Grip · Cable";"3 sets";"15 reps"
"2. Chest-Supported Low Rows with Neutral Grip · Machine";"3 sets";"15 reps"
"3. Triceps Pushdowns · Cable";"3 sets";"15 reps"
"4. Curls · EZ bar";"3 sets";"15 reps"
"5. Rows with Wide Neutral Grip · Cable";"3 sets";"15 reps"
"6. Seated Curls · Dumbbells";"3 sets";"15 reps"
"7. Triceps Pushdowns with Rope · Cable";"3 sets";"15 reps"
"8. Pullovers · Cable";"3 sets";"10 reps"
"Day 3 · Day 3"
"1. Leg Press · Machine";"3 sets";"15 reps"
"2. Calf Raises on Leg Press · Machine";"3 sets";"15 reps"
"3. Hip Adduction · Machine";"3 sets";"15 reps"
"4. Hip Abduction · Machine";"3 sets";"15 reps"
"5. Leg Extensions · Machine";"3 sets";"15 reps"
"6. Leg Curls on Leg Extension Machine · Machine";"3 sets";"15 reps"

"Padrão · 5 weeks";2023-09-30
"Day 1 · Day 1 - Peito Ombro"
"1. Chest Press · Machine";"3 sets";"15 reps"
"2. Incline Bench Press · Barbell";"3 sets";"15 reps"
"3. Seated Shoulder Press · Dumbbells";"3 sets";"15 reps"
